ParticipantID,comf_community,comf_firefighter,comf_gun,comf_healthcare,comf_immigration,comf_media,comf_police,comf_religion,comf_science,comf_voting
11891797,2,4,2,4,4,4,1,2,4,4
11891810,6,6,6,7,6,6,6,7,7,6
11891819,7,7,4,5,7,4,3,5,7,7
11891923,6,6,1,3,4,4,5,5,3,1
11891926,7,6,1,4,5,2,6,2,7,6
11891941,5,5,5,7,5,1,5,2,5,6
11891944,5,7,2,5,6,2,5,4,6,6
11891956,3,6,3,6,4,4,5,6,6,5
11891961,3,6,7,6,6,6,6,6,6,5
11891966,6,7,1,6,3,5,6,7,3,7
11891970,7,7,7,7,7,7,7,7,7,7
11891973,4,6,2,3,5,1,4,4,5,5
11891981,5,5,5,6,6,6,6,2,6,6
11891997,6,6,2,6,3,5,5,5,5,5
11892003,4,4,4,4,4,4,4,4,4,4
11892012,4,4,6,6,5,4,6,5,6,7
11892022,4,5,4,5,4,4,3,3,6,4
11892023,5,7,2,2,6,3,3,4,8,7
11892024,4,6,6,5,6,6,6,4,6,6
11892037,7,7,7,7,7,5,4,7,7,7
11892045,4,5,7,7,5,7,5,7,5,7
11892051,7,7,7,7,7,7,7,6,7,7
11892054,5,6,5,5,4,5,5,4,6,5
11892065,4,6,6,7,3,3,3,3,7,7
11892067,6,5,4,5,5,4,4,5,5,4
11892079,7,7,7,6,6,5,7,6,7,7
11892162,1,7,7,7,7,1,7,2,7,1
11892163,3,1,3,5,6,5,5,6,7,7
11892169,5,6,3,7,5,7,6,7,7,6
11892172,7,7,7,7,7,7,7,7,7,7
11892173,6,6,6,5,6,6,6,3,5,7
11892178,5,5,5,5,6,5,2,5,6,7
